content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
"when i used the isoman voucher code, the doctor didn't respond, so i had to repeat it and pay. that's all. the rest is no problem.",26,when  used the isoman voucher code the doctor didnt respond so  had to repeat it and pay thats all the rest is no problem,24,used isoman voucher code doctor didnt respond repeat pay thats rest problem,12
very helpful,2,very helpful,2,helpful,1
"the application is very helpful for buying medicine without having to go to the pharmacy. however, the address point is different from the gojek driver, and credit card transactions always fail.",31,the application is very helpful for buying medicine without having to go to the pharmacy however the address point is different from the gojek driver and credit card transactions always fail,31,application helpful buying medicine without go pharmacy however address point different gojek driver credit card transactions always fail,18
first time straight away ok..,5,first time straight away ok,5,first time straight away ok,5
good,1,good,1,good,1
very helpful app,3,very helpful app,3,helpful app,2
very good,2,very good,2,good,1
very helpful in the current pandemic situation which is quite vulnerable to visiting/seeking treatment at clinics or hospitals....,18,very helpful in the current pandemic situation which is quite vulnerable to visitingseeking treatment at clinics or hospitals,18,helpful current pandemic situation quite vulnerable visitingseeking treatment clinics hospitals,10
good app,2,good app,2,good app,2
very helpful in pandemic conditions without having to leave the house,11,very helpful in pandemic conditions without having to leave the house,11,helpful pandemic conditions without leave house,6
the doctor is very friendly and very helpful👍,8,the doctor is very friendly and very helpful,8,doctor friendly helpful,3
provide services (pay on delivery),5,provide services pay on delivery,5,provide services pay delivery,4
thank you very much. have consulted with 4 doctors of various specialists here. very helpful. hopefully it will be further improved and there will be more discounts.,27,thank you very much have consulted with doctors of various specialists here very helpful hopefully it will be further improved and there will be more discounts,26,thank much consulted doctors various specialists helpful hopefully improved discounts,10
"this is really an amazing app. order medicine easily, and it is delivered so fast without shipping costs. it really helps 🙏🏻",22,this is really an amazing app order medicine easily and it is delivered so fast without shipping costs it really helps,21,really amazing app order medicine easily delivered fast without shipping costs really helps,13
"a very helpful app in the health sector, from buying medicine to chatting with doctors. thank you halodoc",18, very helpful app in the health sector from buying medicine to chatting with doctors thank you halodoc,17,helpful app health sector buying medicine chatting doctors thank halodoc,10
good,1,good,1,good,1
"i complained via chat for a long time without any answer, when they answered they just repeated my question. for example: why is the recipe not right? answered why is the recipe not right and so on with my next chat i called cs busy",45, complained via chat for  long time without any answer when they answered they just repeated my question for example why is the recipe not right answered why is the recipe not right and so on with my next chat  called cs busy,42,complained via chat long time without answer answered repeated question example recipe right answered recipe right next chat called cs busy,21
